127.0.0.1 - - [25/Aug/2021:09:13:00 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:13:03 +0530] "GET /e-learning-frontend/ HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:13:33 +0530] "GET /e-learning-frontend/ HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:13:34 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:13:37 +0530] "GET /e-learning-frontend/loginadmin.jsp HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:13:41 +0530] "GET /e-learning-frontend/loginuser.jsp HTTP/1.1" 200 1419
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:13:59 +0530] "POST /e-learning-frontend/loginuser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:13:59 +0530] "GET /e-learning-frontend/afteruserlogin.jsp HTTP/1.1" 200 3074
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:14:09 +0530] "GET /e-learning-frontend/afteruserlogin.jsp HTTP/1.1" 200 3074
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:15:01 +0530] "GET /e-learning-frontend/afteruserlogin.jsp HTTP/1.1" 200 3074
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:15:06 +0530] "GET /e-learning-frontend/contact.jsp HTTP/1.1" 200 3282
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:16:08 +0530] "GET /e-learning-frontend/contact.jsp HTTP/1.1" 200 3282
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:16:25 +0530] "GET /e-learning-frontend/courseuser.jsp HTTP/1.1" 200 3523
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:17:09 +0530] "GET /e-learning-frontend/courseuser.jsp HTTP/1.1" 200 3523
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:17:44 +0530] "GET /e-learning-frontend/courseuser.jsp HTTP/1.1" 200 3523
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:18:08 +0530] "GET /e-learning-frontend/courseuser.jsp HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:18:34 +0530] "GET /e-learning-frontend/courseuser.jsp HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:18:52 +0530] "GET /e-learning-frontend/courseuser.jsp HTTP/1.1" 200 3512
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:19:25 +0530] "GET /e-learning-frontend/courseuser.jsp HTTP/1.1" 200 3481
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:19:30 +0530] "GET /e-learning-frontend/feedback.jsp HTTP/1.1" 200 2414
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:19:33 +0530] "GET /e-learning-frontend/courseuser.jsp HTTP/1.1" 200 3481
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:22:00 +0530] "GET /e-learning-frontend/index.jsp HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:22:02 +0530] "GET /e-learning-frontend/loginadmin.jsp HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:22:15 +0530] "POST /e-learning-frontend/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:22:15 +0530] "GET /e-learning-frontend/afterloginadm.jsp HTTP/1.1" 200 2429
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:22:19 +0530] "GET /e-learning-frontend/course.jsp HTTP/1.1" 200 5771
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:22:59 +0530] "POST /e-learning-frontend/courseuser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:22:59 +0530] "GET /e-learning-frontend/courseuser.jsp HTTP/1.1" 200 3481
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:23:17 +0530] "GET /e-learning-frontend/course.jsp HTTP/1.1" 200 5818
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:23:54 +0530] "GET /e-learning-frontend/admin.jsp HTTP/1.1" 200 4669
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:24:36 +0530] "POST /e-learning-frontend/adminadd HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:24:36 +0530] "GET /e-learning-frontend/admin.jsp HTTP/1.1" 200 4762
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:24:49 +0530] "GET /e-learning-frontend/index.jsp HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:24:51 +0530] "GET /e-learning-frontend/loginadmin.jsp HTTP/1.1" 200 1659
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:25:02 +0530] "POST /e-learning-frontend/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:25:02 +0530] "GET /e-learning-frontend/afterloginadm.jsp HTTP/1.1" 200 2429
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:26:08 +0530] "GET /e-learning-frontend/admin.jsp HTTP/1.1" 200 4762
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:26:10 +0530] "GET /e-learning-frontend/course.jsp HTTP/1.1" 200 5818
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:26:17 +0530] "GET /e-learning-frontend/contactdisplay.jsp HTTP/1.1" 200 5081
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:26:29 +0530] "GET /e-learning-frontend/userdisplay.jsp HTTP/1.1" 200 6728
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:26:36 +0530] "GET /e-learning-frontend/feedbackdisplay.jsp HTTP/1.1" 200 3191
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:28:46 +0530] "GET /e-learning-frontend/course.jsp HTTP/1.1" 200 5818
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:29:09 +0530] "GET /e-learning-frontend/course.jsp HTTP/1.1" 200 5818
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:36:05 +0530] "GET /e-learning-frontend/index.jsp HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:36:14 +0530] "GET /e-learning-frontend/feedback.jsp HTTP/1.1" 200 2414
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:36:25 +0530] "GET /e-learning-frontend/index.jsp HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [25/Aug/2021:09:36:41 +0530] "GET /e-learning-frontend/userdisplay.jsp HTTP/1.1" 200 6728
